ID;CODE_PRODUIT;PRIX_TTC;STOCK;CODE_TVA;DISPO;ETAT;DESIGNATION;FABRIQUANT;CONTENANCE;DEGRE;CATEGORIE
892;892;1.95;182;2;both;1;GUE MOINES PREAMBULE 33VP     ;BRASSERIE GUE DES MOINES;33;5.8;3
895;895;4.08;22;2;both;1;OUD BEERSEL OUDE GUEUZE 37.5VP; BRASSERIE OUD BEERSEL;38;6;2
936;936;1.83;100;2;both;1;SCHLENKERLA RAUCH. MAERZ. 50VC;BRASSERIE HELLER;50;5.1;0
937;937;6.84;6;2;both;1;MJG COLLIOURE ROUGE 75CL      ;;75;14.5;20
947;947;7.2;4;2;both;1;DUO PRESTIGE BLANC 75CL       ;;75;13;22
949;949;5.67;21;2;both;1;AUTHENTIQUE DU MAS RGE 75CL   ;;75;13;20
951;951;3.02;0;2;both;1;BLANCHE DES HONNELLES 75VC    ;BRASSERIE ABBAYE DES ROCS;75;6;3
952;952;2.66;120;2;both;1;BLANCHE DE NAMUR 75VC         ;BRASSERIE DU BOCQ;75;4.5;0
953;953;3.99;474;2;both;1;MOINETTE BONS VOEUX 75VC      ;BRASSERIE DUPONT;75;9.5;11
955;955;5.03;35;2;both;1;BOON OUDE GUEUZE 75VP         ;BRASSERIE BOON ;75;7;13
962;962;8.39;24;2;both;1;CANTILLON GUEUZE BIO 75VP     ;BRASSERIE CANTILLON;75;5.5;0
963;963;10.93;71;2;both;1;CANTILLON KRIEK BIO 75VP      ;BRASSERIE CANTILLON;75;6;13
966;966;6.6;4;2;both;1;CAROLUS CUV IMPERIAL BLDE 75VP;BRASSERIE HET ANKER;75;10;6
967;967;6.08;6;2;both;1;CAROLUS C. IMPERIAL DARK 75VP ;BRASSERIE HET ANKER;75;11;0
975;975;6.07;68;2;both;1;DUCHESSE DE BOURGOGNE 75VC    ;BRASSERIE VERHAEGHE;75;6.2;4
977;977;6.27;1;2;both;1;HANSSENS OUDE KRIEK 75VC      ;BRASSERIE HANSSENS ;75;6;0
978;978;2.66;72;2;both;1;HOMMELBIER 75VC               ;BRASSERIE VAN EECKE;75;7.5;0
980;980;5.85;36;2;both;1;SEDUCTION RGE 75CL            ;;75;13;20
982;982;2.64;84;2;both;1;KAPITTEL BLONDE 75VC          ;BRASSERIE VAN EECKE;75;6.5;0
983;983;4.67;2;2;both;1;KARMELIET TRIPLE 75VP   X6    ;BRASSERIE BOSTEELS;75;8.4;0
985;985;3.29;12;2;both;1;KASTEEL CUV. CHATEAU 75VC     ;BRASSERIE VAN HONSEBROUCK;75;11;0
991;991;5.85;-2;2;both;1;SEDUCTION BLANC 75CL          ;;75;13;22
993;993;3.79;4;2;both;1;LINDEMANS KRIEK 75VP          ;BRASSERIE LINDEMANS;75;3.5;0
995;995;3.6;98;2;both;1;MJG BRIU BLANC MUSCAT SEC 75CL;;75;12.5;23
996;996;3.74;72;2;both;1;LUPULUS TRIPLE BLONDE 75VC    ;BRASSERIE LUPULUS;75;8.5;10
997;997;3.56;17;2;both;1;LUPULUS BRUNE 75VC            ;BRASSERIE LUPULUS;75;8.5;12
1000;1000;3.97;67;2;both;1;MOINETTE BIO 75VC             ;BRASSERIE DUPONT;75;7.5;11
1001;1001;3.73;84;2;both;1;MOINETTE BLONDE 75VC          ;BRASSERIE DUPONT;75;8.5;10
1004;1004;3.56;38;2;both;1;MOINETTE AMBREE 75VC          ;BRASSERIE DUPONT;75;8.5;4
1006;1006;7.2;18;2;both;1;MJG BRIU BANYULS AOC 75CL     ;;75;16.5;20
1010;1010;5.49;15;2;both;1;MJG BRIU TAUTAVEL 75CL        ;;75;14.5;20
1011;1011;3.02;221;2;both;1;SAISON DUPONT 75VC            ;BRASSERIE DUPONT;75;6.5;11
1012;1012;4.39;22;2;both;1;ST BERNARDUS TRIPLE 75VP      ;BRASSERIE SAINT BERNARD;75;8;0
