ID;CODE_PRODUIT;LIBELLE;LIBELLE COMP.;FABRIQUANT;PRIX;ACCISE;CODE_TVA;UV_CAISSE;STOCK_UV;CONTENANCE;DEGRE;MARQUE;CONSIGNE_PAR_CONDITION_VENTE;CONDITION_VENTE;CATEGORIE
5278;5278;CHIPS TOMATE 125G;ARTISANALES CUITES AU CHAUDRON;0;2.0083;0;3;20;20;100;0;1;0;3    ;0
5285;5285;GUE MOINES DAME DE COEUR 75VP;TRIPLE;48;3.7713;0.2472;2;6;44;75;8;1;0;3    ;10
5287;5287;VODKA LEGENDE KREMLIN DORE 70C;DISTILLEE ET FILTREE 5 FOIS;0;26.1855;0;2;1;5;70;40;1;0;     ;0
5298;5298;WHISKY SPRINGBANK 15A 70CL;SINGLE MALT;0;67;0;2;1;0;70;46;1;0;     ;0
5300;5300;GIN CANAIMA 70CL;;0;20.9;0;2;6;8;70;47;1;0;     ;0
5304;5304;COF FLY VODKA SQUADRON 303 70C;FLASK KIT / ANGLETERRE;0;33.2975;0;2;1;1;70;40;1;0;     ;0
5306;5306;COF RHUM CENTENARIO 20 70CL;2 VERRES TUMBLER OFFERTS;0;41.6874;0;2;6;0;70;40;1;0;     ;0
5310;5310;VODKA LEGENDE KREMLIN NOIR 70C;DISTILLEE ET FILTREE 5 FOIS;0;26.1855;0;2;1;4;70;40;1;0;     ;0
5313;5313;RHUM LA FAVORITE BLANC 70CL;BEL AIR 2019;0;29.8;0;2;3;1;70;53;1;0;     ;0
5324;5324;GUE MOINES SERIE NOIRE 75VP;BRUNE FUMEE;48;3.7425;0.23175;2;6;0;75;7.5;1;0;3    ;5
5325;5325;GUE MOINES SUPER POWER 75VP;DIPA;48;3.7713;0.2472;2;6;18;75;8;1;0;3    ;1
5326;5326;CLOS DES MENUTS RGE 2005 75CL;AOC ST-EMILION GRAND-CRU;0;29.2231;0;2;6;0;75;13;1;0;     ;0
5327;5327;CLOS DES MENUTS RGE 2017 75CL;AOC ST-EMILION GRAND-CRU;0;12.6481;0;2;6;10;75;13.5;1;0;     ;0
5333;5333;CH COUTET BLANC 2005 75CL;AOC SAUTERNES / 1ER CRU CLASSE;0;39.3631;0;2;6;3;75;14;1;0;     ;23
5335;5335;MENUTS BORDEAUX RGE 2012 75CL;AOC BORDEAUX;0;5.1731;0;2;12;23;75;13.5;1;0;     ;20
5340;5340;CLOS DES MENUTS RGE 1995 75CL;AOC ST-EMILION GRAND-CRU;0;43.7181;0;2;6;0;75;12.5;1;0;     ;0
5345;5345;VERRE A WHISKY PATRICK 19CL;CRISTAL GLENCAIRN ETUI CARTON;0;5.076;0;2;1;0;100;0;1;0;1    ;0
5349;5349;SUPPORT BLLE FELIX BOULISTE;;0;15.535;0;2;1;1;100;0;1;0;     ;0
5350;5350;COFF LIAM 2 BLLES JOYEUX ANNIV;CLOISONS AMOVIBLES COUV NOIR;0;8.203;0;2;1;0;100;0;1;0;     ;0
5394;5394;FEVER TREE MEDITERRANEAN 20VP;PREMIUM 100% NATUREL;0;1.15;0.0428;3;24;240;20;0;1;0;     ;0
5398;5398;GUE MOINES BLDE OCCITANIE 75VP;BLONDE ALE;48;3.3714;0.13905;2;6;64;75;4.5;1;0;3    ;8
5401;5401;BON ACHAT SANS TVA METRO;POUR ATTIRER CLIENT;0;40;0;5;1;-2;100;0;1;0;     ;0
5402;5402;FAUTEUIL IRON GRIS METAL;METRO;0;54;0;2;1;24;100;0;1;0;     ;0
5403;5403;TABOURET HAUT IRON GRIS METAL;METRO;0;45;0;2;1;22;100;0;1;0;     ;0
5404;5404;MANGE DEBOUT IRON GRIS METAL;METRO 115X60X60  HALENBEEK;0;130;0;2;1;6;100;0;1;0;     ;0
5405;5405;TABLE IRON GRIS METAL;METRO 76X76 HALENBEECK;0;135;0;2;1;6;100;0;1;0;     ;0
5411;5411;EDV MIRABELLE ST FLORIAN 70CL;;0;13;0;2;6;1;70;40;1;0;     ;0
5417;5417;COCA COLA ZERO S/PLACE 33CL;AU COMPTOIR;0;2.7024;0.0249;4;1;0;33;0;1;0;     ;0
5418;5418;VIN ROUGE 12,5CL A 3€;AU COMPTOIR;0;2.5;0.00515;2;1;-6;13;0;1;0;     ;0
5419;5419;VIN BLANC 12.5CL A 3€;AU COMPTOIR;0;2.5;0;2;1;-6;13;0;1;0;     ;0
5420;5420;THE PECHE FUZETEA S/PLACE 33CL;;0;2.7084;0.0149;4;1;-5;33;0;1;0;     ;0
5421;5421;SCHWEPPES IND TONIC S/PLACE 25;;0;2.6748;0.0534;4;1;0;25;0;1;0;     ;0
5422;5422;LIMONADE S/PLACE 25CL;;0;2.1852;0.0891;4;1;0;25;0;1;0;     ;0
5423;5423;DIABOLO S/PLACE 25CL;;0;2.458;0.0891;4;1;0;25;0;1;0;     ;0
5429;5429;GARAGE SANTAKO 33BTE;WEST COAST IPA;156;2.025;0.08158;2;16;350;33;6;1;0;3    ;1
5430;5430;GARAGE OCATA 30L KEYKEG;IPA FÛT KEYKEG;156;4.4909;0.22248;2;30;0;100;5.4;1;0;5    ;1
5431;5431;GARAGE SANTAKO 30L KK;WEST COAST IPA;156;4.5941;0.2472;2;30;0;100;6;1;0;5    ;1
5435;5435;MUSCAT RIVESALTES 8CL AU VERRE;AU COMPTOIR;0;2;0.0033;2;1;0;8;0;1;0;     ;0
5436;5436;VIN ROSE 12.5CL A 4€;AU COMPTOIR;0;3.333;0;2;1;0;13;0;1;0;     ;0
5451;5451;BLANCHE DE WATOU 30L;BLANCHE BELGE;13;2.75;0.19776;2;30;840;100;4.8;1;30;1    ;3
5463;5463;OLIVE COCKTAIL MAROCAINE 2.5KG;SEAU REF 0528869;0;12.7875;0;3;1;2;100;0;1;0;     ;0
5468;5468;VERRE INCASSABLE MOJITO 43CL;SANS BPA;0;1.9617;0;2;1;50;100;0;1;0;3    ;0
5470;5470;SUCRE BUCHETTES 500 X 5G;;0;5.408;0;3;1;0;100;0;1;0;     ;0
5496;5496;RHUM KARUKERA ALLIGATOR 70CL;BLACK EDITION RHUM AGRICOLE;0;46.6;0;2;1;1;70;45;1;0;     ;0
5501;5501;ESTRELLA GALICIA BLONDE 33VP;;203;0.7066;0.14956;2;24;0;33;5.5;0;0;3    ;7
5510;5510;GARAGE SOUP 30L KEYKEG;NEIPA;156;5.2608;0.2472;2;30;210;100;6;1;0;5    ;1
5521;5521;QUEUE CHARRUE TRIPLE  75VP X6;;12;3.2427;0.5562;2;6;0;75;9;1;0;3    ;0
5527;5527;FRAIS NETTOYAGE MACHINE BIERE;RESTITUEE SALE;0;41.6675;0;2;1;0;100;0;1;0;     ;0
5535;5535;O CLOCK BADEN KIRCH 33VP;OLD ALE BA 24 MOIS;202;3.5156;0.17675;2;24;0;33;13;1;0;3    ;6
5570;5570;ROCAMADOUR AOP 35G X12 ETOILE;;0;1.116;0;3;12;0;100;0;1;0;     ;0
5574;5574;ICE BREAKER THIRSTY THURSD 33;VIENNA LAGER;214;2.3865;0.07206;2;24;0;33;5.3;0;0;3    ;7
5578;5578;ICE BREAKER HUMMINGBIRD 33VP;BA STRONG ALE ANANAS BANANE;214;3.225;0.11557;2;12;0;33;8.5;1;0;3    ;6
5617;5617;VENEZZIO SPRITZ 20VP 0.0% X24;SANS ALCOOL;0;0.73;0.0428;3;24;23;20;0;1;0;     ;0
5619;5619;TOMATADE SUD N SOL 500G;;0;8;0;3;1;2;100;0;1;0;3    ;0
5624;5624;DELIRIUM TREMENS 30L;TRIPLE;40;4.4804;0.7004;2;30;0;100;8.5;1;30;1    ;8
5635;5635;GIN BLOSSOM GDE RESERVE 70CL;LONDON DRY GIN;0;23;0;2;6;1;70;40;1;0;     ;0
