ID;CODE_PRODUIT;LIBELLE;LIBELLE COMP.;FABRIQUANT;PRIX;ACCISE;CODE_TVA;UV_CAISSE;STOCK_UV;CONTENANCE;DEGRE;MARQUE;CONSIGNE_PAR_CONDITION_VENTE;CONDITION_VENTE;CATEGORIE
265;265;WHISKY THE EPICUREAN 70CL;BLENDED MALT / LOWLANDS ECOSSE;0;29.8;0;2;6;3;70;46.2;1;0;     ;0
275;275;WHISKY PADDY 70CL;BLEND IRLANDAIS;0;15.8;0;2;6;12;70;40;1;0;     ;0
278;278;WH TEELING SMALL BATCH 70CL;BLENDED FUT RHUM / IRLANDE;0;26.1;0;2;6;7;70;46;1;0;3    ;0
284;284;COF THE HOLA LAMA 65G;1 MUG / THE GOUT COQUELICOT;0;13.0625;0;2;6;1;100;0;1;0;3    ;0
291;291;MAUBET CUVEE COUP COEUR 75CL;GROS MANSENG;187;5.7392;0;2;6;47;75;12.5;1;0;     ;23
292;292;VILLA DRIA CHARD GROS MANS. 75;DOUX CHARDONNAY GROS MANSENG;0;3.122;0;2;6;16;75;12.5;1;0;     ;0
295;295;VILLA DRIA PETIT MANSENG 75CL;DOUX / VDP COTES GASC.;0;4.653;0;2;6;26;75;12.5;1;0;     ;23
296;296;TATTOO SAUVIGNON GROS MANS 75C;VIGNOBLE FONTAN;187;4.615;0;2;6;57;75;11;1;0;     ;23
297;297;MAUBET BLANC SEC FRUITE 75CL;VIGNOBLES FONTAN;187;3.99;0;2;6;11;75;11.5;1;0;     ;22
298;298;RHUM ARRANGE EPICES 70CL;METISSARTISANAL / LA REUNION;0;19.2871;0;2;6;2;70;23.7;1;0;     ;0
302;302;LONGUEROCHE L'OC BLANC 75CL;;226;4.86;0;2;6;58;75;13;1;0;     ;22
303;303;LONGUEROCHE L'OC ROSE 75CL;;226;4.86;0;2;6;504;75;13;1;0;     ;21
304;304;LONGUEROCHE L'OC ROUGE 75CL;;226;4.86;0;2;6;83;75;13;1;0;     ;20
305;305;LONGUEROCHE LE VIOGNIER  75CL;BLANC;226;7.02;0;2;6;21;75;13;1;0;     ;22
327;327;RAMON BILBAO CRIANZA 75CL;ESPAGNE;0;5.418;0;2;6;7;75;13.5;1;0;     ;0
332;332;ESCUDO ROJO CHARDONNAY 75CL;CHILI;0;8.5;0;2;6;4;75;14;1;0;     ;0
333;333;ESCUDO ROJO ROUGE 75CL;CHILI;0;12.8525;0;2;6;21;75;14;1;0;     ;0
336;336;TRIVENTO RES MALBEC ROUGE 75CL;ARGENTINE;0;5.85;0;2;6;0;75;14;1;0;     ;0
337;337;ANDERRA CAB SAUVIGNON RGE 75CL;CHILI;0;5.3664;0;2;6;0;75;13.5;1;0;     ;0
