ID;CODE_PRODUIT;PRIX_TTC;STOCK;CODE_TVA;DISPO;ETAT;DESIGNATION;FABRIQUANT;CONTENANCE;DEGRE;CATEGORIE
5405;5405;135;6;2;both;1;TABLE IRON GRIS METAL         ;;100;0;0
5411;5411;13;2;2;both;1;EDV MIRABELLE ST FLORIAN 70CL ;;70;40;0
5417;5417;2.7;-3;4;both;1;COCA COLA ZERO S/PLACE 33CL   ;;33;0;0
5419;5419;2;-36;2;both;1;VIN BLANC 12.5CL A 3€         ;;13;0;0
5420;5420;2.71;-34;4;both;1;THE PECHE FUZETEA S/PLACE 25CL;;25;0;0
5421;5421;2.67;-1;4;both;1;SCHWEPPES IND TONIC S/PLACE 25;;25;0;0
5422;5422;2.19;-11;4;both;1;LIMONADE S/PLACE 25CL         ;;25;0;0
5423;5423;2.46;-2;4;both;1;DIABOLO GRENADINE S/PLACE 25CL;;25;0;0
5424;5424;2.46;0;4;both;1;DIABOLO MENTHE S/PLACE 25CL   ;;25;0;0
5429;5429;2.03;38;2;both;1;GARAGE SANTAKO 33BTE          ;GARAGE BREWING;33;6;1
5430;5430;4.49;180;2;both;1;GARAGE OCATA 30L KEYKEG       ;GARAGE BREWING;100;5.4;1
5431;5431;4.59;0;2;both;1;GARAGE SANTAKO 30L KK         ;GARAGE BREWING;100;6;1
5435;5435;2;0;2;both;1;MUSCAT RIVESALTES 8CL AU VERRE;;8;0;0
5451;5451;2.75;2010;2;both;1;BLANCHE DE WATOU 30L          ;BRASSERIE VAN EECKE;100;4.8;3
5454;5454;3.14;0;2;both;1;LAUGAR AUPA TOVARISCH 33VP    ;BRASSERIE LAUGAR;33;12;5
5463;5463;12.79;1;3;both;1;OLIVE COCKTAIL MAROCAINE 2.5KG;;100;0;0
5468;5468;1.96;50;2;both;1;VERRE INCASSABLE MOJITO 43CL  ;;100;0;0
5470;5470;5.41;0;3;both;1;SUCRE BUCHETTES 500 X 5G      ;;100;0;0
5496;5496;46.6;1;2;both;1;RHUM KARUKERA ALLIGATOR 70CL  ;;70;45;0
5499;5499;2.6;0;2;both;1;RESERVA ESPECIAL 1906 30L     ;ESTRELLA GALICIA;100;6.5;4
5510;5510;5.24;-30;2;both;1;GARAGE SOUP 30L KEYKEG        ;GARAGE BREWING;100;6;1
5521;5521;3.24;0;2;both;1;QUEUE CHARRUE TRIPLE  75VP X6 ;BRASSERIE VANUXEEM;75;9;0
5527;5527;41.67;0;2;both;1;FRAIS NETTOYAGE MACHINE BIERE ;;100;0;0
5530;5530;1.06;0;2;both;1;PETRUS DOUBLE 33VC            ;BRASSERIE DE BRABANDERE;33;7;12
5535;5535;3.52;10;2;both;1;O CLOCK BADEN KIRCH 33VP      ;O CLOCK BREWING;33;13;6
5536;5536;3.76;0;2;both;1;O CLOCK BADEN BOURBON 33VP    ;O CLOCK BREWING;33;12;6
5546;5546;2.47;0;2;both;1;MAD SCIENT TOKYO LEMONADE 44B ;BRASSERIE MAD SCIENTIST;44;4.2;3
5547;5547;2.61;0;2;both;1;MAD SCIENT POPSTAR BEER 44BTE ;BRASSERIE MAD SCIENTIST;44;6;1
5570;5570;1.12;24;3;both;1;ROCAMADOUR AOP 35G X12 ETOILE ;;100;0;0
5578;5578;3.23;0;2;both;1;ICE BREAKER HUMMINGBIRD 33VP  ;ICE BREAKER;33;8.5;6
5617;5617;0.73;118;3;both;1;VENEZZIO SPRITZ 20VP 0.0% X24 ;;20;0;0
5619;5619;8;0;3;both;1;TOMATADE SUD N SOL 500G       ;;100;0;0
5624;5624;4.38;0;2;both;1;DELIRIUM TREMENS 30L          ;BRASSERIE HUYGHE;100;8.5;8
5625;5625;4.05;0;2;both;1;PARANOIA 30L                  ;BRASSERIE HUYGHE;100;5.6;7
5635;5635;23;1;2;both;1;GIN BLOSSOM GDE RESERVE 70CL  ;;70;40;0
5636;5636;86.06;2;2;both;1;RHUM SANTIAGO DE CUBA 20A 70CL;;70;40;0
5637;5637;16;3;2;both;1;LIQUEUR MANDARINE NAPOLEON 70C;;70;38;0
5655;5655;26;0;2;both;1;RHUM SECHA DE LA SILVA 70CL   ;;70;40;0
5659;5659;0.2;0;2;both;1;REFACTURATION CONS 12X75CL    ;;100;0;0
5660;5660;0.2;0;2;both;1;REFACTURATION CONS 12X37.5CL  ;;100;0;0
5669;5669;5.5;150;2;both;1;MAD SCIENT NEW YORK MOCA 30L K;BRASSERIE MAD SCIENTIST;100;6.6;8
5673;5673;15;-2;4;both;1;LA PARTITION GOURMANDE        ;;100;0;0
5695;5695;1.6;-176;2;both;1;PRESSION 25CL PILS A 3€       ;;25;0;0
5696;5696;2.5;-131;2;both;1;PRESSION 50CL PILS A 5€       ;;50;0;0
5697;5697;1;-2;4;both;1;SIROP A L'EAU MENTHE GRENADINE;;25;0;0
5698;5698;2.5;0;2;both;1;VIN BLANC 12.5CL A 2.90€      ;;13;0;0
5706;5706;3.3;0;2;both;1;ASAHI SUPER DRY 30L           ;;100;5.2;7
5716;5716;21;23;2;both;1;TETE DE BELIER ROUGE 2022 75CL;CHATEAU PUECH-HAUT;75;15.5;20
5717;5717;13.69;21;2;both;1;TETE DE BELIER ROSE 2024 75CL ;CHATEAU PUECH-HAUT;75;12.5;21
5718;5718;20.6;17;2;both;1;TETE DE BELIER BLANC 2022 75CL;CHATEAU PUECH-HAUT;75;14.5;22
5720;5720;4.38;960;2;both;1;DELIRIUM RED 30L              ;BRASSERIE HUYGHE;100;8;14
5724;5724;2.34;86;2;both;1;IRON WILD MELISSE 33BTE       ;BRASSERIE IRON;33;6.2;2
5733;5733;13.6;46;2;both;1;RHUM HAVANA CLUB 3 ANS 70CL   ;;70;37.5;0
5743;5743;7;71;2;both;1;CHAT ST JULIEN ROSE 75CL      ;CHATEAU ST JULIEN;75;13.5;21
5744;5744;7.91;5;2;both;1;CHAT ST JULIEN BLANC 75CL     ;CHATEAU ST JULIEN;75;13.5;22
5745;5745;9.25;24;2;both;1;CHAT ST JULIEN ROUGE 75CL     ;CHATEAU ST JULIEN;75;14;20
5746;5746;9.82;31;2;both;1;EXCEPTION ST JULIEN ROSE 75CL ;;75;13.5;21
5793;5793;3.65;6;2;both;1;CALAVERA CUVEE 37.5VP         ;BRASSERIE LA CALAVERA;38;9;2
5795;5795;1.75;0;2;both;1;PAGE 24 EXTRA IPA 33VP        ;BRASSERIE SAINT GERMAIN;33;8.9;1
5800;5800;4.84;0;2;both;1;LA DEBAUCHE NEVERMORE 20L K   ;LA DEBAUCHE;100;9.5;5
5801;5801;1.53;48;2;both;1;VICARIS TRIPLE 33VC           ;BRASSERIE DILEWYNS VICARIS;33;8.5;10
5802;5802;1.57;177;2;both;1;VICARIS GENERAAL 33VC         ;BRASSERIE DILEWYNS VICARIS;33;8.5;12
5809;5809;3.35;60;2;both;1;LUPULUS HIBERNATUS 75VC       ;BRASSERIE LUPULUS;75;9.5;12
5825;5825;2.61;630;2;both;1;YPERMAN 30L                   ;BRASSERIE VAN EECKE;100;5.5;0
5830;5830;2.04;14;3;both;1;CHIPS AU POIVRE NOIR 125G     ;;100;0;0
5831;5831;2.07;5;3;both;1;CHIPS A LOIGNON 125G          ;;100;0;0
5875;5875;13.84;29;2;both;1;3 FONTEINEN OUDE KRIEK 75VP   ;3 FONTEINEN;75;6.7;0
5876;5876;1.63;24;2;both;1;LEFORT BRUNE 33VC             ;BRASSERIE LEFORT;33;10;0
5878;5878;20.83;1;3;both;1;JAMBON SERRANO DESOSSE KG     ;;100;0;0
5880;5880;15.2;29;2;both;1;RHUM HAVANA CLUB ESPECIAL 70CL;;70;37.5;0
5881;5881;3.42;0;3;both;1;MARGALET 28% 150G             ;;100;0;0
5882;5882;0.72;720;3;both;1;ROCAMADOUR AOP 23% 35G        ;;100;0;0
5883;5883;3.5;0;3;both;1;ROUELLE CENDREE 21% 155G      ;;100;0;0
5885;5885;1.77;0;3;both;1;ENROBE RAISIN BRUN 45% 80G    ;;100;0;0
5886;5886;1.5;0;3;both;1;FIGUETTE EPICE 19% 65G        ;;100;0;0
5887;5887;1.77;0;3;both;1;ENROBE ABRICOT 45% 80G        ;;100;0;0
5888;5888;1.77;0;3;both;1;ENROBE POIVRE NOIR 45% 80G    ;;100;0;0
5889;5889;1.77;0;3;both;1;ENROBE RAISIN BLOND 45% 80G   ;;100;0;0
5890;5890;1.76;0;3;both;1;2 FIGUETTES NATURE 24% 2X65G  ;;100;0;0
5891;5891;1.29;0;3;both;1;TRUFFADOU 22% TUB AES 3.2% 30G;;100;0;0
5892;5892;1.68;0;3;both;1;BRILLAT SAV IGP 39% LC BB 100G;;100;0;0
5893;5893;3.65;0;3;both;1;PT CAMEMBERT 22% LC 150G      ;;100;0;0
5894;5894;2.28;0;3;both;1;ST MARCELLIN IGP 23% LC 80G   ;;100;0;0
5895;5895;5.17;0;3;both;1;ST FELICIEN 27% LC 180G       ;;100;0;0
5896;5896;15;0;3;both;1;SAUCISSE SECHE PERCHE S/GAZ KG;;100;0;0
5902;5902;682.5;0;2;both;1;TENTE PLIANTE 4X4 PRO 50 ALU  ;;100;0;0
5903;5903;1.8;0;2;both;1;CORB BAMBOU GM CHOCOLAT       ;;100;0;0
5904;5904;3.4;260;2;both;1;GUE MOINES PREAMBULE 20L      ;BRASSERIE GUE DES MOINES;100;5.8;3
5928;5928;29.6;0;2;both;1;CALVADOS CH DROUIN 70CL       ;;70;40;0
5959;5959;1.94;46;2;both;1;LA DEBAUCHE ALMA 33BTE        ;LA DEBAUCHE;33;4.5;1
5960;5960;3.76;0;2;both;1;LA DEBAUCHE CINDY BUNNY 75VP  ;LA DEBAUCHE;75;8.5;10
5961;5961;3.98;23;2;both;1;LA DEBAUCHE IPA 75VP          ;LA DEBAUCHE;75;6;1
5969;5969;1.5;6;2;both;1;VERRE ROTHAUS 30CL            ;;100;0;0
5970;5970;2.5;6;2;both;1;CHOPE ROTHAUS 50CL            ;;100;0;0
5971;5971;2;12;2;both;1;VERRE FRANZISKANER 50CL       ;;100;0;0
5972;5972;2.01;510;2;both;1;BAVARIA PREMIUM BLONDE 30L    ;BRASSERIE BAVARIA ;100;5;0
5978;5978;1.89;17;2;both;1;LAUGAR KISKALE 33VP           ;BRASSERIE LAUGAR;33;7.33;12
5981;5981;2.54;48;2;both;1;VERRE DEBAUCHE 25CL           ;;100;0;0
5982;5982;3;48;2;both;1;VERRE DEBAUCHE 50CL           ;;100;0;0
5985;5985;4.63;160;2;both;1;MISTER B BUBBA 20LK           ;MISTER B;100;8;1
5987;5987;4.8;0;2;both;1;PIGGY EROICA 30L K            ;THE PIGGY BREWING COMPAGNY;100;6.1;0
5996;5996;3.4;60;2;both;1;GUE DES MOINES GAME OVER 20L  ;BRASSERIE GUE DES MOINES;100;5.8;4
6015;6015;1600;2;2;both;1;VITRINE REFRIGEREE 2 PORTES   ;;100;0;0
6016;6016;1000;2;2;both;1;ARRIERE DE BAR VITRE 3 PORTES ;;100;0;0
6031;6031;7.08;0;2;both;1;CYCLIC FLORA 75VP             ;CYCLIC;75;4.9;2
6035;6035;5.54;4;2;both;1;CYCLIC XINO XANO  75VP        ;CYCLIC;75;4;2
6042;6042;8.7;0;3;both;1;LOT FOUET EXTRA ANDALOU 3X180G;;100;0;0
6050;6050;0.75;0;3;both;1;PULCO CITRONNADE 33CL BTE     ;;33;0;0
6058;6058;1.61;0;2;both;1;DOUGALLS TRES MARES 33VP      ;DOUGALLS;33;5.2;4
6072;6072;39.26;7;2;both;1;BIB 10L ORGASMIK CABERN ANJOU ;CHATEAU DU FRESNE;1000;13;21
6073;6073;5.74;146;2;both;1;ORGASMIK ROSÉ ANJOU 75CL      ;CHATEAU DU FRESNE;75;11.5;21
6074;6074;5.81;-1;2;both;1;LA CROIX LIZEE BLANC SEC 75CL ;CHATEAU DU FRESNE;75;12.5;22
